Indicator,Unit,Subgroup,Area,Area ID,Time Period,Source,Data Value,Footnotes
Access to land for cultivation,Percent,Very Poor,Gokwe_South,AFRZWE007002,2003,MPSL&SW_PASS_2003,99.2,
Access to land for cultivation,Percent,Poor,Gweru,AFRZWE007003,2003,MPSL&SW_PASS_2003,83.7,
Access to land for cultivation,Percent,Total ,Gweru,AFRZWE007003,2003,MPSL&SW_PASS_2003,88.3,
Access to land for cultivation,Percent,Non Poor,Gweru,AFRZWE007003,2003,MPSL&SW_PASS_2003,89.2,
Access to land for cultivation,Percent,Very Poor,Gweru,AFRZWE007003,2003,MPSL&SW_PASS_2003,89.8,
Access to land for cultivation,Percent,Non Poor,Kwekwe,AFRZWE007004,2003,MPSL&SW_PASS_2003,65.6,
Access to land for cultivation,Percent,Poor,Kwekwe,AFRZWE007004,2003,MPSL&SW_PASS_2003,69.8,
Access to land for cultivation,Percent,Total ,Kwekwe,AFRZWE007004,2003,MPSL&SW_PASS_2003,82,
Access to land for cultivation,Percent,Very Poor,Kwekwe,AFRZWE007004,2003,MPSL&SW_PASS_2003,89.4,
Access to land for cultivation,Percent,Non Poor,Mberengwa,AFRZWE007005,2003,MPSL&SW_PASS_2003,92,
Access to land for cultivation,Percent,Total ,Mberengwa,AFRZWE007005,2003,MPSL&SW_PASS_2003,94.5,
Access to land for cultivation,Percent,Very Poor,Mberengwa,AFRZWE007005,2003,MPSL&SW_PASS_2003,94.9,
Acceptance attitudes towards people with HIV/AIDS,Percent,Female Primary education,Zimbabwe,AFRZWE,2005-2006,ZIMSTAT_ZDHS_2005-06,13.9,
Acceptance attitudes towards people with HIV/AIDS,Percent,Female Married,Zimbabwe,AFRZWE,2005-2006,ZIMSTAT_ZDHS_2005-06,16,
Acceptance attitudes towards people with HIV/AIDS,Percent,Female 40-49 yr,Zimbabwe,AFRZWE,2005-2006,ZIMSTAT_ZDHS_2005-06,16.1,
Acceptance attitudes towards people with HIV/AIDS,Percent,Rural Female,Zimbabwe,AFRZWE,2005-2006,ZIMSTAT_ZDHS_2005-06,16.1,
Acceptance attitudes towards people with HIV/AIDS,Percent,Female 30-39 yr,Zimbabwe,AFRZWE,2005-2006,ZIMSTAT_ZDHS_2005-06,16.2,
Acceptance attitudes towards people with HIV/AIDS,Percent,Female 20-24,Zimbabwe,AFRZWE,2005-2006,ZIMSTAT_ZDHS_2005-06,16.4,
Acceptance attitudes towards people with HIV/AIDS,Percent,Female 15-49 yr,Zimbabwe,AFRZWE,2005-2006,ZIMSTAT_ZDHS_2005-06,17.1,
Acceptance attitudes towards people with HIV/AIDS,Percent,Female 15-24 year olds,Zimbabwe,AFRZWE,2005-2006,ZIMSTAT_ZDHS_2005-06,17.5,
Acceptance attitudes towards people with HIV/AIDS,Percent,Female 25-29,Zimbabwe,AFRZWE,2005-2006,ZIMSTAT_ZDHS_2005-06,18.3,
Acceptance attitudes towards people with HIV/AIDS,Percent,Female 15-19,Zimbabwe,AFRZWE,2005-2006,ZIMSTAT_ZDHS_2005-06,18.5,
Acceptance attitudes towards people with HIV/AIDS,Percent,Urban Female,Zimbabwe,AFRZWE,2005-2006,ZIMSTAT_ZDHS_2005-06,18.7,
Acceptance attitudes towards people with HIV/AIDS,Percent,Female Never married never had sex,Zimbabwe,AFRZWE,2005-2006,ZIMSTAT_ZDHS_2005-06,19,
Acceptance attitudes towards people with HIV/AIDS,Percent,Female Secondary education,Zimbabwe,AFRZWE,2005-2006,ZIMSTAT_ZDHS_2005-06,19,
Acceptance attitude of not buying fresh vegetables from a shop keeper with HIV,Percent,Female 15-24 year olds,Zimbabwe,AFRZWE,2005-2006,ZIMSTAT_ZDHS_2005-06,57.3,
Acceptance attitude of not buying fresh vegetables from a shop keeper with HIV,Percent,Female 20-24,Zimbabwe,AFRZWE,2005-2006,ZIMSTAT_ZDHS_2005-06,58.1,
Acceptance attitude of not buying fresh vegetables from a shop keeper with HIV,Percent,Female 25-29,Zimbabwe,AFRZWE,2005-2006,ZIMSTAT_ZDHS_2005-06,58.6,
Acceptance attitude of not buying fresh vegetables from a shop keeper with HIV,Percent,Female Never married ever had sex,Zimbabwe,AFRZWE,2005-2006,ZIMSTAT_ZDHS_2005-06,59.4,
Acceptance attitude of not buying fresh vegetables from a shop keeper with HIV,Percent,Female Never married never had sex,Zimbabwe,AFRZWE,2005-2006,ZIMSTAT_ZDHS_2005-06,61.7,
Acceptance attitude of not buying fresh vegetables from a shop keeper with HIV,Percent,Male 40-49 yr,Zimbabwe,AFRZWE,2005-2006,ZIMSTAT_ZDHS_2005-06,62.1,
Acceptance attitude of not buying fresh vegetables from a shop keeper with HIV,Percent,Female Secondary education,Zimbabwe,AFRZWE,2005-2006,ZIMSTAT_ZDHS_2005-06,62.4,
Acceptance attitude of not buying fresh vegetables from a shop keeper with HIV,Percent,Rural Male,Zimbabwe,AFRZWE,2005-2006,ZIMSTAT_ZDHS_2005-06,62.5,
Acceptance attitude of not buying fresh vegetables from a shop keeper with HIV,Percent,Urban Female,Zimbabwe,AFRZWE,2005-2006,ZIMSTAT_ZDHS_2005-06,64.5,
Acceptance attitude of not buying fresh vegetables from a shop keeper with HIV,Percent,Male 15-19,Zimbabwe,AFRZWE,2005-2006,ZIMSTAT_ZDHS_2005-06,64.5,
Acceptance attitude of not buying fresh vegetables from a shop keeper with HIV,Percent,Male Married,Zimbabwe,AFRZWE,2005-2006,ZIMSTAT_ZDHS_2005-06,66.7,
Acceptance attitude of not buying fresh vegetables from a shop keeper with HIV,Percent,Male 15-24 year olds,Zimbabwe,AFRZWE,2005-2006,ZIMSTAT_ZDHS_2005-06,66.8,
Acceptance attitude not to keep secret that a family member has HIV,Percent,Female Higher education,Zimbabwe,AFRZWE,2005-2006,ZIMSTAT_ZDHS_2005-06,30.4,
Acceptance attitude not to keep secret that a family member has HIV,Percent,Male Higher education,Zimbabwe,AFRZWE,2005-2006,ZIMSTAT_ZDHS_2005-06,31.5,
Acceptance attitude not to keep secret that a family member has HIV,Percent,Male 25-29,Zimbabwe,AFRZWE,2005-2006,ZIMSTAT_ZDHS_2005-06,37.7,
Acceptance attitude not to keep secret that a family member has HIV,Percent,Male 30-39 yr,Zimbabwe,AFRZWE,2005-2006,ZIMSTAT_ZDHS_2005-06,38.3,
Acceptance attitude not to keep secret that a family member has HIV,Percent,Male Married,Zimbabwe,AFRZWE,2005-2006,ZIMSTAT_ZDHS_2005-06,38.3,
Acceptance attitude not to keep secret that a family member has HIV,Percent,Urban Male,Zimbabwe,AFRZWE,2005-2006,ZIMSTAT_ZDHS_2005-06,38.9,
Acceptance attitude not to keep secret that a family member has HIV,Percent,Male 40-49 yr,Zimbabwe,AFRZWE,2005-2006,ZIMSTAT_ZDHS_2005-06,39.1,
Acceptance attitude not to keep secret that a family member has HIV,Percent,Urban Female,Zimbabwe,AFRZWE,2005-2006,ZIMSTAT_ZDHS_2005-06,40.3,
Acceptance attitude not to keep secret that a family member has HIV,Percent,Male Secondary education,Zimbabwe,AFRZWE,2005-2006,ZIMSTAT_ZDHS_2005-06,42.2,
Acceptance attitude not to keep secret that a family member has HIV,Percent,Female Secondary education,Zimbabwe,AFRZWE,2005-2006,ZIMSTAT_ZDHS_2005-06,45,
Acceptance attitude not to keep secret that a family member has HIV,Percent,Female 30-39 yr,Zimbabwe,AFRZWE,2005-2006,ZIMSTAT_ZDHS_2005-06,45.5,
Acceptance attitude not to keep secret that a family member has HIV,Percent,Male 15-49 yr,Zimbabwe,AFRZWE,2005-2006,ZIMSTAT_ZDHS_2005-06,45.7,
Acceptance attitude not to keep secret that a family member has HIV,Percent,Male 15-54,Zimbabwe,AFRZWE,2005-2006,ZIMSTAT_ZDHS_2005-06,45.8,
Acceptance attitude not to keep secret that a family member has HIV,Percent,Female 25-29,Zimbabwe,AFRZWE,2005-2006,ZIMSTAT_ZDHS_2005-06,46.6,
Acceptance attitude not to keep secret that a family member has HIV,Percent,Female 20-24,Zimbabwe,AFRZWE,2005-2006,ZIMSTAT_ZDHS_2005-06,46.9,
Acceptance attitude not to keep secret that a family member has HIV,Percent,Female 15-49 yr,Zimbabwe,AFRZWE,2005-2006,ZIMSTAT_ZDHS_2005-06,49.2,
Acceptance attitude not to keep secret that a family member has HIV,Percent,Female Married,Zimbabwe,AFRZWE,2005-2006,ZIMSTAT_ZDHS_2005-06,49.2,
Acceptance attitude not to keep secret that a family member has HIV,Percent,Female Never married never had sex,Zimbabwe,AFRZWE,2005-2006,ZIMSTAT_ZDHS_2005-06,49.5,
Acceptance attitude not to keep secret that a family member has HIV,Percent,Male Never married ever had sex,Zimbabwe,AFRZWE,2005-2006,ZIMSTAT_ZDHS_2005-06,50.4,
Acceptance attitude not to keep secret that a family member has HIV,Percent,Rural Male,Zimbabwe,AFRZWE,2005-2006,ZIMSTAT_ZDHS_2005-06,50.4,
Acceptance attitude not to keep secret that a family member has HIV,Percent,Female 15-24 year olds,Zimbabwe,AFRZWE,2005-2006,ZIMSTAT_ZDHS_2005-06,51.1,
Acceptance attitude not to keep secret that a family member has HIV,Percent,Female Never married ever had sex,Zimbabwe,AFRZWE,2005-2006,ZIMSTAT_ZDHS_2005-06,51.3,
Acceptance attitude not to keep secret that a family member has HIV,Percent,Female 40-49 yr,Zimbabwe,AFRZWE,2005-2006,ZIMSTAT_ZDHS_2005-06,52.2,
Acceptance attitude not to keep secret that a family member has HIV,Percent,Male No education,Zimbabwe,AFRZWE,2005-2006,ZIMSTAT_ZDHS_2005-06,52.3,
Acceptance attitude not to keep secret that a family member has HIV,Percent,Male 15-24 year olds,Zimbabwe,AFRZWE,2005-2006,ZIMSTAT_ZDHS_2005-06,53.6,
Acceptance attitude not to keep secret that a family member has HIV,Percent,Male Never married never had sex,Zimbabwe,AFRZWE,2005-2006,ZIMSTAT_ZDHS_2005-06,54.1,
Acceptance attitude not to keep secret that a family member has HIV,Percent,Female 15-19,Zimbabwe,AFRZWE,2005-2006,ZIMSTAT_ZDHS_2005-06,55.1,
Acceptance attitude not to keep secret that a family member has HIV,Percent,Rural Female,Zimbabwe,AFRZWE,2005-2006,ZIMSTAT_ZDHS_2005-06,55.2,
Acceptance attitude not to keep secret that a family member has HIV,Percent,Female Primary education,Zimbabwe,AFRZWE,2005-2006,ZIMSTAT_ZDHS_2005-06,57.4,
Acceptance attitude not to keep secret that a family member has HIV,Percent,Male Primary education,Zimbabwe,AFRZWE,2005-2006,ZIMSTAT_ZDHS_2005-06,58.1,
Acceptance attitude not to keep secret that a family member has HIV,Percent,Male 15-19,Zimbabwe,AFRZWE,2005-2006,ZIMSTAT_ZDHS_2005-06,59.6,
Acceptance attitude not to keep secret that a family member has HIV,Percent,Female No education,Zimbabwe,AFRZWE,2005-2006,ZIMSTAT_ZDHS_2005-06,62.9,
Acceptance attitude not to keep secret that a family member has HIV,Percent,Female 15-49 yr,Manicaland,AFRZWE001,2005-2006,ZIMSTAT_ZDHS_2005-06,50,
Acceptance attitude not to keep secret that a family member has HIV,Percent,Male 15-49 yr,Manicaland,AFRZWE001,2005-2006,ZIMSTAT_ZDHS_2005-06,52,
Acceptance attitude not to keep secret that a family member has HIV,Percent,Male 15-49 yr,Mashonaland Central,AFRZWE002,2005-2006,ZIMSTAT_ZDHS_2005-06,48.4,
Acceptance attitude not to keep secret that a family member has HIV,Percent,Female 15-49 yr,Mashonaland Central,AFRZWE002,2005-2006,ZIMSTAT_ZDHS_2005-06,52.8,
Acceptance attitude not to keep secret that a family member has HIV,Percent,Male 15-49 yr,Mashonaland East,AFRZWE003,2005-2006,ZIMSTAT_ZDHS_2005-06,28.1,
Acceptance attitude not to keep secret that a family member has HIV,Percent,Female 15-49 yr,Mashonaland East,AFRZWE003,2005-2006,ZIMSTAT_ZDHS_2005-06,49.6,
Acceptance attitude not to keep secret that a family member has HIV,Percent,Male 15-49 yr,Mashonaland West,AFRZWE004,2005-2006,ZIMSTAT_ZDHS_2005-06,40.1,
Acceptance attitude of caring for family member with HIV in own home,Percent,Female 15-49 yr,Zimbabwe,AFRZWE,2005-2006,ZIMSTAT_ZDHS_2005-06,91,
Acceptance attitude of caring for family member with HIV in own home,Percent,Female Never married ever had sex,Zimbabwe,AFRZWE,2005-2006,ZIMSTAT_ZDHS_2005-06,91.1,
Acceptance attitude of caring for family member with HIV in own home,Percent,Urban Female,Zimbabwe,AFRZWE,2005-2006,ZIMSTAT_ZDHS_2005-06,91.2,
Acceptance attitude of caring for family member with HIV in own home,Percent,Female Secondary education,Zimbabwe,AFRZWE,2005-2006,ZIMSTAT_ZDHS_2005-06,91.4,
Acceptance attitude of caring for family member with HIV in own home,Percent,Female Married,Zimbabwe,AFRZWE,2005-2006,ZIMSTAT_ZDHS_2005-06,91.6,
Acceptance attitude of caring for family member with HIV in own home,Percent,Female 40-49 yr,Zimbabwe,AFRZWE,2005-2006,ZIMSTAT_ZDHS_2005-06,92.2,
Acceptance attitude of caring for family member with HIV in own home,Percent,Female 30-39 yr,Zimbabwe,AFRZWE,2005-2006,ZIMSTAT_ZDHS_2005-06,92.5,
Acceptance attitude of caring for family member with HIV in own home,Percent,Female 25-29,Zimbabwe,AFRZWE,2005-2006,ZIMSTAT_ZDHS_2005-06,93.8,
Acceptance attitude of caring for family member with HIV in own home,Percent,Male 15-49 yr,Manicaland,AFRZWE001,2005-2006,ZIMSTAT_ZDHS_2005-06,59.7,
Acceptance attitude of caring for family member with HIV in own home,Percent,Female 15-49 yr,Manicaland,AFRZWE001,2005-2006,ZIMSTAT_ZDHS_2005-06,93.2,
Acceptance attitude of caring for family member with HIV in own home,Percent,Male 15-49 yr,Mashonaland Central,AFRZWE002,2005-2006,ZIMSTAT_ZDHS_2005-06,50.7,
Acceptance attitude of caring for family member with HIV in own home,Percent,Female 15-49 yr,Mashonaland Central,AFRZWE002,2005-2006,ZIMSTAT_ZDHS_2005-06,94.6,
Acceptance attitude of caring for family member with HIV in own home,Percent,Male 15-49 yr,Mashonaland East,AFRZWE003,2005-2006,ZIMSTAT_ZDHS_2005-06,69.8,
Acceptance attitude of caring for family member with HIV in own home,Percent,Female 15-49 yr,Mashonaland East,AFRZWE003,2005-2006,ZIMSTAT_ZDHS_2005-06,93.6,
Acceptance attitude of caring for family member with HIV in own home,Percent,Male 15-49 yr,Mashonaland West,AFRZWE004,2005-2006,ZIMSTAT_ZDHS_2005-06,66.5,
Acceptance attitude of caring for family member with HIV in own home,Percent,Female 15-49 yr,Mashonaland West,AFRZWE004,2005-2006,ZIMSTAT_ZDHS_2005-06,88.1,
Acceptance attitude of caring for family member with HIV in own home,Percent,Female 15-49 yr,Matabeleland North,AFRZWE005,2005-2006,ZIMSTAT_ZDHS_2005-06,87.2,
Acceptance attitude of caring for family member with HIV in own home,Percent,Male 15-49 yr,Matabeleland North,AFRZWE005,2005-2006,ZIMSTAT_ZDHS_2005-06,90.8,
Acceptance attitude of caring for family member with HIV in own home,Percent,Male 15-49 yr,Matabeleland South,AFRZWE006,2005-2006,ZIMSTAT_ZDHS_2005-06,85.6,
Acceptance attitude of caring for family member with HIV in own home,Percent,Female 15-49 yr,Matabeleland South,AFRZWE006,2005-2006,ZIMSTAT_ZDHS_2005-06,87.9,
Acceptance attitude of caring for family member with HIV in own home,Percent,Male 15-49 yr,Midlands,AFRZWE007,2005-2006,ZIMSTAT_ZDHS_2005-06,72.9,
Acceptance attitude of caring for family member with HIV in own home,Percent,Female 15-49 yr,Midlands,AFRZWE007,2005-2006,ZIMSTAT_ZDHS_2005-06,94.2,
Acceptance attitude of caring for family member with HIV in own home,Percent,Male 15-49 yr,Masvingo,AFRZWE008,2005-2006,ZIMSTAT_ZDHS_2005-06,78.3,
Acceptance attitude of caring for family member with HIV in own home,Percent,Female 15-49 yr,Masvingo,AFRZWE008,2005-2006,ZIMSTAT_ZDHS_2005-06,90.2,
Acceptance attitude of caring for family member with HIV in own home,Percent,Male 15-49 yr,Harare,AFRZWE009,2005-2006,ZIMSTAT_ZDHS_2005-06,68.2,
Acceptance attitude of caring for family member with HIV in own home,Percent,Female 15-49 yr,Harare,AFRZWE009,2005-2006,ZIMSTAT_ZDHS_2005-06,91,
Acceptance attitude of caring for family member with HIV in own home,Percent,Female 15-49 yr,Bulawayo,AFRZWE010,2005-2006,ZIMSTAT_ZDHS_2005-06,84.8,
Acceptance attitude of caring for family member with HIV in own home,Percent,Male 15-49 yr,Bulawayo,AFRZWE010,2005-2006,ZIMSTAT_ZDHS_2005-06,90.7,
Acceptance attitudes towards people with HIV/AIDS,Percent,Male 25-29,Zimbabwe,AFRZWE,2005-2006,ZIMSTAT_ZDHS_2005-06,10.5,
Acceptance attitudes towards people with HIV/AIDS,Percent,Male 20-24,Zimbabwe,AFRZWE,2005-2006,ZIMSTAT_ZDHS_2005-06,10.6,
Acceptance attitudes towards people with HIV/AIDS,Percent,Male Secondary education,Zimbabwe,AFRZWE,2005-2006,ZIMSTAT_ZDHS_2005-06,10.9,
Acceptance attitudes towards people with HIV/AIDS,Percent,Male 15-24 year olds,Zimbabwe,AFRZWE,2005-2006,ZIMSTAT_ZDHS_2005-06,11.7,
Acceptance attitudes towards people with HIV/AIDS,Percent,Male Never married ever had sex,Zimbabwe,AFRZWE,2005-2006,ZIMSTAT_ZDHS_2005-06,12.3,
Acceptance attitudes towards people with HIV/AIDS,Percent,Male Never married never had sex,Zimbabwe,AFRZWE,2005-2006,ZIMSTAT_ZDHS_2005-06,12.3,
Acceptance attitudes towards people with HIV/AIDS,Percent,Urban Male,Zimbabwe,AFRZWE,2005-2006,ZIMSTAT_ZDHS_2005-06,12.5,
Body Mass Index below 18.5,Percent,Female,Matabeleland South,AFRZWE006,2005-2006,ZIMSTAT_ZDHS_2005-06,12.4,
Body Mass Index below 18.5,Percent,Female,Midlands,AFRZWE007,2005-2006,ZIMSTAT_ZDHS_2005-06,10.2,
Body Mass Index below 18.5,Percent,Female,Masvingo,AFRZWE008,2005-2006,ZIMSTAT_ZDHS_2005-06,9.6,
Body Mass Index below 18.5,Percent,Female,Harare,AFRZWE009,2005-2006,ZIMSTAT_ZDHS_2005-06,6.9,
Body Mass Index below 18.5,Percent,Female,Bulawayo,AFRZWE010,2005-2006,ZIMSTAT_ZDHS_2005-06,6,
Caesarian sections as a proportion of all births,Percent,Total ,Zimbabwe,AFRZWE,1994,ZIMSTAT_ZDHS_1994,6,
Caesarian sections as a proportion of all births,Percent,Total ,Manicaland,AFRZWE001,1994,ZIMSTAT_ZDHS_1994,5.6,
Caesarian sections as a proportion of all births,Percent,Total ,Mashonaland Central,AFRZWE002,1994,ZIMSTAT_ZDHS_1994,6.4,
Caesarian sections as a proportion of all births,Percent,Total ,Mashonaland East,AFRZWE003,1994,ZIMSTAT_ZDHS_1994,5.1,
Caesarian sections as a proportion of all births,Percent,Total ,Mashonaland West,AFRZWE004,1994,ZIMSTAT_ZDHS_1994,1.2,
Caesarian sections as a proportion of all births,Percent,Total ,Matabeleland North,AFRZWE005,1994,ZIMSTAT_ZDHS_1994,3,
Caesarian sections as a proportion of all births,Percent,Total ,Matabeleland South,AFRZWE006,1994,ZIMSTAT_ZDHS_1994,11.6,
Caesarian sections as a proportion of all births,Percent,Total ,Midlands,AFRZWE007,1994,ZIMSTAT_ZDHS_1994,7.5,
Caesarian sections as a proportion of all births,Percent,Total ,Masvingo,AFRZWE008,1994,ZIMSTAT_ZDHS_1994,8.2,
Caesarian sections as a proportion of all births,Percent,Total ,Harare,AFRZWE009,1994,ZIMSTAT_ZDHS_1994,7.2,
Caesarian sections as a proportion of all births,Percent,Total ,Bulawayo,AFRZWE010,1994,ZIMSTAT_ZDHS_1994,6.3,
Caesarian sections as a proportion of all births,Percent,Total ,Zimbabwe,AFRZWE,1999,ZIMSTAT_ZDHS_1999,6.7,
Caesarian sections as a proportion of all births,Percent,Total ,Manicaland,AFRZWE001,1999,ZIMSTAT_ZDHS_1999,4.5,
Access to land for cultivation,Percent,Very Poor,Zimbabwe,AFRZWE,2003,MPSL&SW_PASS_2003,89,
Activity rate,Percent,Total ,Bulawayo,AFRZWE010,1992,ZIMSTAT_Census_1992,65.9,
Activity rate,Percent,Total ,Zimbabwe,AFRZWE,1993,ZIMSTAT_Indicator Monitoring Survey _1993,75.24,
Activity rate,Percent,Total ,Zimbabwe,AFRZWE,1997,ZIMSTAT_ ICDS_1997,73.1,
Activity rate,Percent,Total ,Manicaland,AFRZWE001,1997,ZIMSTAT_ ICDS_1997,76.6,
Activity rate,Percent,Total ,Mashonaland Central,AFRZWE002,1997,ZIMSTAT_ ICDS_1997,75.8,
Activity rate,Percent,Total ,Mashonaland East,AFRZWE003,1997,ZIMSTAT_ ICDS_1997,75.4,
Activity rate,Percent,Total ,Mashonaland West,AFRZWE004,1997,ZIMSTAT_ ICDS_1997,71.8,
Activity rate,Percent,Total ,Matabeleland North,AFRZWE005,1997,ZIMSTAT_ ICDS_1997,76.6,
Activity rate,Percent,Total ,Matabeleland South,AFRZWE006,1997,ZIMSTAT_ ICDS_1997,78.7,
Caesarian sections as a proportion of all births,Percent,Total ,Matabeleland South,AFRZWE006,1999,ZIMSTAT_ZDHS_1999,7.6,
Caesarian sections as a proportion of all births,Percent,Total ,Midlands,AFRZWE007,1999,ZIMSTAT_ZDHS_1999,8.6,
Caesarian sections as a proportion of all births,Percent,Total ,Masvingo,AFRZWE008,1999,ZIMSTAT_ZDHS_1999,6.5,
